Brand,Product Name,Selling Price (INR),Original Price (INR),Discount (%),Rating,Number of Ratings,Number of Reviews,Price Segment
Lenovo,Lenovo IdeaPad Slim 3 Snapdragon X - (16 GB/512 GB SSD/Windows 11 Home) 15Q8X10 Thin and Light Laptop,54990,82890.0,33.0,3.9,49.0,4.0,Mid-Range (₹30K-₹60K)
Acer,Acer Aspire 3 Intel Core i5 13th Gen 1334U - (16 GB/1 TB SSD/Windows 11 Home) A324-53 Thin and Light L...,54990,64990.0,15.0,4.3,1632.0,104.0,Mid-Range (₹30K-₹60K)
HP,HP 250R G9 Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) 42V68PA Thin and Light Lap...,40990,50990.0,19.0,4.2,213.0,18.0,Mid-Range (₹30K-₹60K)
ASUS,"ASUS Vivobook S14 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, Intel Core i5 13th Gen 1342...",55999,90990.0,38.0,4.4,863.0,65.0,Mid-Range (₹30K-₹60K)
Acer,Acer Aspire Lite AMD Ryzen 5 Hexa Core 5625U - (8 GB/512 GB SSD/Windows 11 Home) AL15-41 Thin and Ligh...,39938,56990.0,29.0,4.1,2867.0,214.0,Mid-Range (₹30K-₹60K)
Lenovo,Lenovo LOQ Essential Intel Core i7 12650HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA Ge...,85990,109990.0,21.0,4.2,225.0,11.0,Premium (₹60K-₹1L)
HP,HP Intel Core i5 13th Gen 1334U - (12 GB/512 GB SSD/Windows 11 Home) 15-fd0575TU Thin and Light Laptop,52990,68417.0,22.0,4.2,1717.0,85.0,Mid-Range (₹30K-₹60K)
Lenovo,Lenovo Chromebook MediaTek Kompanio 520 - (4 GB/128 GB EMMC Storage/Chrome OS) 14M868 Chromebook,19990,28690.0,30.0,3.9,3787.0,332.0,Budget (< ₹30K)
HP,HP 15 (2024) AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) 15-fc0500AU / 15-fc0154AU...,37990,44783.0,15.0,4.2,3491.0,251.0,Mid-Range (₹30K-₹60K)
Acer,Acer Aspire Go 14 Intel Core Ultra 5 125H - (16 GB/512 GB SSD/Windows 11 Home) AG14-71M Thin and Light...,54990,69990.0,21.0,4.0,57.0,1.0,Mid-Range (₹30K-₹60K)
HP,HP 15 (i3 14th Gen) Intel Core 3 100U - (16 GB/512 GB SSD/Windows 11 Home) 15-fd0885TU Thin and Light ...,47990,50843.0,5.0,4.2,1326.0,73.0,Mid-Range (₹30K-₹60K)
HP,HP Touch Chromebook MediaTek MT8183 - (4 GB/32 GB EMMC Storage/Chrome OS) 11MK G9 Chromebook,18990,27990.0,32.0,3.4,1168.0,86.0,Budget (< ₹30K)
ASUS,ASUS Vivobook Go 14 (2025) with Office 2024 + M365 Basic* AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB S...,38990,43990.0,11.0,4.2,3252.0,290.0,Mid-Range (₹30K-₹60K)
Acer,Acer Aspire 3 AMD Ryzen 3 Quad Core 7330U - (16 GB/512 GB SSD/Windows 11 Home) AS15-42 Thin and Light ...,39990,42990.0,6.0,4.2,858.0,98.0,Mid-Range (₹30K-₹60K)
Acer,Acer Aspire 3 Intel Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,33555,39999.0,16.0,3.8,9082.0,771.0,Mid-Range (₹30K-₹60K)
HP,HP 14R (2025) Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Home) 14R G9 Thin and Light ...,44990,78990.0,43.0,4.2,111.0,8.0,Mid-Range (₹30K-₹60K)
Samsung,Samsung Galaxy Book5 AI Metal Intel Core Ultra 7 255U - (16 GB/512 GB SSD/Windows 11 Home) NP750XHD Th...,85350,109990.0,22.0,4.5,343.0,43.0,Premium (₹60K-₹1L)
Lenovo,Lenovo IdeaPad Slim 3 AMD Ryzen 5 Quad Core 7520U - (16 GB/512 GB SSD/Windows 11 Home) 15AMN8 Thin and...,48990,59090.0,17.0,4.1,296.0,19.0,Mid-Range (₹30K-₹60K)
HP,"HP Professional 14, Intel Core i5 13th Gen 1334U Turbo Boost, Finger Print and Backlite Keyboard - (16...",61999,66734.0,7.0,4.6,40.0,7.0,Premium (₹60K-₹1L)
HP,HP Victus Intel Core i5 14th Gen 14450HX - (24 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFo...,89990,105442.0,14.0,4.3,447.0,29.0,Premium (₹60K-₹1L)
Lenovo,Lenovo IdeaPad Slim 1 AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ACL6 | 15ALC7 ...,36999,47290.0,21.0,4.2,7196.0,584.0,Mid-Range (₹30K-₹60K)
Acer,Acer Aspire Lite Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) AL15-52 Thin and Lig...,41990,49990.0,16.0,4.1,1054.0,84.0,Mid-Range (₹30K-₹60K)
ASUS,ASUS Expertbook P1 Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Home) P1503CVA-S71074WS...,53990,74990.0,28.0,4.3,5540.0,449.0,Mid-Range (₹30K-₹60K)
HP,HP 15s Metal Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) 15-hr0005TU Thin and Lig...,42990,53327.0,19.0,4.3,89.0,2.0,Mid-Range (₹30K-₹60K)
HP,HP Victus AMD Ryzen 7 Hexa Core 7445H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce...,63990,74024.0,13.0,4.2,16.0,0.0,Premium (₹60K-₹1L)
ASUS,"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Ho...",46990,69990.0,32.0,4.2,8863.0,488.0,Mid-Range (₹30K-₹60K)
Infinix,Infinix Y3 Max Series Intel Core i7 12th Gen 1255U - (16 GB/512 GB SSD/Windows 11 Home) YL613 Thin and...,46999,84990.0,44.0,4.1,38.0,6.0,Mid-Range (₹30K-₹60K)
ASUS,ASUS Expertbook P1 Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) P1503CVA-S70501WS ...,49990,69990.0,28.0,4.3,5540.0,449.0,Mid-Range (₹30K-₹60K)
Acer,Acer NITRO LITE 16 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVI...,74999,84999.0,11.0,4.4,600.0,53.0,Premium (₹60K-₹1L)
MSI,MSI Modern 14 Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C12MO-1402IN...,41999,50990.0,17.0,4.2,119.0,11.0,Mid-Range (₹30K-₹60K)
MSI,MSI Modern 14 AMD Ryzen 5 Hexa Core 7430U - (16 GB/512 GB SSD/Windows 11 Home) 14 C7M-283IN / 14 C7M-4...,44990,66990.0,32.0,4.4,256.0,21.0,Mid-Range (₹30K-₹60K)
Acer,Acer Aspire Intel Celeron Dual Core N4500 - (12 GB/256 GB SSD/Windows 11 Home) A324-45-V2 Thin and Lig...,27490,29999.0,8.0,3.8,2040.0,188.0,Budget (< ₹30K)
