Product Name,Selling Price,Original Price,Discount,Rating,Rating Count
ASUS Chromebook CX15 Intel Celeron Dual Core N4500 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1505CKA-S70...,"₹16,990","₹19,990",15% off,4,123 Ratings & 7 Reviews
Primebook 2 Pro (2025) in-Built AI MediaTek Helio G99 (MT8781) - (8 GB/128 GB/Android 15) PBG9914128#4...,"₹24,990","₹29,990",16% off,4.3,845 Ratings & 250 Reviews
HP Intel Pentium Quad Core N6000 - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq3073TU Thin and Light Lapto...,"₹36,965",N/A,N/A,3.6,35 Ratings & 3 Reviews
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 15IAH8 Thin a...,"₹53,990","₹70,990",23% off,4.2,806 Ratings & 51 Reviews
HP 240R G10 (2026) Professional (i3 14th Gen) Intel Core 3 14th Gen 100U - (8 GB/512 GB SSD/Windows 11...,"₹41,490","₹66,990",38% off,4,4 Ratings & 0 Reviews
"ASUS Vivobook S14 (2025) with Office 2024 + M365 Basic*, AI PC, Backlit Keyboard, Intel Core Ultra 5 2...","₹72,990","₹98,990",26% off,4.4,65 Ratings & 6 Reviews
HP 15s AMD Ryzen 5 Quad Core 7520U - (16 GB/512 GB SSD/Windows 11 Home) 15-fc0030AU Thin and Light Lap...,"₹49,990","₹55,691",10% off,4.3,88 Ratings & 1 Reviews
Acer Chromebook Intel Celeron Dual Core N4500 - (8 GB/128 GB EMMC Storage/Chrome OS) CB314-3H-C5QE/ CB...,"₹19,999","₹33,999",41% off,3.8,"2,835 Ratings & 197 Reviews"
Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520 - (4 GB/32 GB EMMC Storage/Chrome OS) 82W00004HA Ch...,"₹13,990","₹16,298",14% off,4,"2,768 Ratings & 205 Reviews"
Lenovo IdeaPad Slim 5 WUXGA OLED Full metal Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows ...,"₹74,990","₹99,790",24% off,4.2,77 Ratings & 10 Reviews
"ASUS Vivobook S14 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, Intel Core i7 13th Gen 1362...","₹66,990","₹98,990",32% off,4.5,203 Ratings & 9 Reviews
Primebook 2 Neo (2025) in-Built AI MediaTek Helio G99 (MT8781) - (6 GB/128 GB/Android 15) PBG9911128#B...,"₹15,990",N/A,N/A,4.3,264 Ratings & 81 Reviews
"ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, Intel Core i3 13th Gen 1315U...","₹46,990","₹54,990",14% off,4.3,"2,866 Ratings & 174 Reviews"
Lenovo IdeaPad Slim 3 Snapdragon X - (16 GB/512 GB SSD/Windows 11 Home) 15Q8X10 Thin and Light Laptop,"₹54,990","₹82,890",33% off,3.9,49 Ratings & 4 Reviews
Acer Aspire 3 Intel Core i5 13th Gen 1334U - (16 GB/1 TB SSD/Windows 11 Home) A324-53 Thin and Light L...,"₹54,990","₹64,990",15% off,4.3,"1,632 Ratings & 104 Reviews"
HP 250R G9 Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) 42V68PA Thin and Light Lap...,"₹40,990","₹50,990",19% off,4.2,213 Ratings & 18 Reviews
